@relation MLDATA

@attribute CODE numeric
@attribute SMOKING numeric
@attribute OBESITY numeric
@attribute DRINKING numeric
@attribute LACK_FRUIT numeric
@attribute LACK_EXERCISE numeric
@attribute AGE65_OVER numeric
@attribute AGE25_44 numeric
@attribute EARLY_SCHOOL_LEAVERS numeric
@attribute LOW_INCOME_HOUSEHOLD numeric
@attribute HCC_HOLDER numeric
@attribute UNEMPLOYMENT numeric
@attribute RAC_PLACE numeric
@attribute CLIENTS_WITH_CARER numeric
@attribute TOTAL_CLIENTS numeric
@attribute DIABETES numeric
@attribute MENTAL_DISEASE numeric
@attribute PSYCHOLOGICAL_DISTRESS numeric
@attribute HYPERTENSION numeric
@attribute 'AIR_ POLLUTANTS' numeric
@attribute STROKE numeric

@data
1,12.692133,30.971936,21.555673,69.028064,55.223058,15.657507,28.038001,27.890814,36.379076,5.817824,4.554432,0,8.617594,29.638063,4.015459,10.56627,10.286867,23.488328,0,0.815064
2,14.2259,36.130429,17.98536,63.869571,64.166192,12.295769,29.519271,43.775326,37.943884,5.626478,4.64274,110.218978,17.832168,22.286787,5.058137,10.409851,12.175003,23.969469,0,1.048446
3,17.847827,38.153432,16.637163,61.846568,65.462502,21.428163,23.64073,44.382525,47.586437,7.509769,7.129197,107.6524,17.926186,26.357064,5.801545,11.969296,12.370669,23.648316,0.016437,1.090673
4,13.414499,36.665799,19.84732,63.334201,60.761124,15.627276,28.144786,28.632643,37.009804,6.398216,4.207499,82.672707,12.637363,22.679175,4.323739,10.352394,10.896757,23.782804,0.005314,1.085773
5,19.791591,42.217517,15.646209,57.782483,70.498709,20.023701,24.989487,38.612416,53.413822,10.249524,10.109461,47.775947,10.102041,30.963104,5.374856,13.236209,13.915235,23.920922,0.734888,1.068537
6,15.186997,36.764164,20.174747,63.235836,64.283709,21.726619,21.491171,29.4441,44.680851,7.210362,5.8107,126.335063,14.285714,26.978411,3.741758,10.049757,10.148451,23.39666,7.016861,0.974386
7,16.215983,30.465988,19.42596,69.534012,59.790324,33.200311,16.156943,31.983984,49.936653,7.651391,5.567027,62.5,12.006319,22.395691,3.98172,9.889156,10.728368,23.677599,0,0.787328
8,15.797856,39.678607,18.284327,60.321393,61.36538,17.827148,24.723843,25.88071,45.778217,11.883562,5.543899,82.061716,10.832497,36.869539,4.138932,10.197162,11.520118,23.497886,0.015763,0.896892
9,18.638101,40.357292,27.512825,59.642708,67.932258,23.870296,19.546816,33.847422,53.540286,9.080088,3.830597,47.54717,11.312217,40.747875,3.769833,6.795795,8.69153,23.282885,0,0.791619
10,15.858773,38.407332,24.167127,61.592668,70.1836,22.59973,19.523327,32.348806,50.596553,7.791372,3.57591,38.87689,12.444444,29.926636,4.225907,10.486559,9.559744,23.182928,0,0.741226
11,15.522318,23.534256,8.522226,76.465744,71.279023,10.894737,44.621053,19.660608,36.71937,5.104291,4.541358,112.339784,16.627358,24.710795,4.993826,4.411123,10.184139,23.997426,0,0.826713
12,29.488207,47.634646,9.840494,52.365354,81.855034,11.996904,24.966829,40.348748,70.26868,14.036409,21.873544,0,16.666667,25.899811,8.363142,8.066776,27.460815,24.346464,0,1.613036
13,12.958369,21.384182,10.140296,78.615818,64.705222,16.550332,38.045581,15.874113,34.094803,5.201212,7.76089,263.357332,27.056673,21.060533,4.59583,8.742771,9.456209,23.306932,0,0.856265
14,7.250233,24.422707,17.89277,75.577293,60.279039,14.274766,24.711881,19.304926,25.594869,3.877025,6.569824,0,20.668693,24.402657,4.024706,7.943715,9.000939,21.430669,0.411432,0.69189
15,10.919861,24.718736,9.491915,75.281264,69.665423,15.483497,33.766647,13.237124,31.309958,4.832542,8.597611,170.475045,25.285481,18.846914,4.185102,6.547678,8.351511,22.916139,0.063631,0.617963
